,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro,Hyundai,2007,80000.0,45000.0,Petrol
1,Mahindra Jeep,Mahindra,2006,425000.0,40.0,Diesel
3,Hyundai Grand,Hyundai,2014,325000.0,28000.0,Petrol
4,Ford EcoSport,Ford,2014,575000.0,36000.0,Diesel
6,Ford Figo,Ford,2012,175000.0,41000.0,Diesel
7,Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol
8,Ford EcoSport,Ford,2016,830000.0,24530.0,Diesel
9,Maruti Suzuki,Maruti,2015,250000.0,60000.0,Petrol
10,Skoda Fabia,Skoda,2010,182000.0,60000.0,Petrol
11,Maruti Suzuki,Maruti,2015,315000.0,30000.0,Petrol
12,Hyundai Elite,Hyundai,2014,415000.0,32000.0,Petrol
13,Mahindra Scorpio,Mahindra,2015,320000.0,48660.0,Diesel
14,Hyundai Santro,Hyundai,2007,80000.0,45000.0,Petrol
15,Mahindra Jeep,Mahindra,2006,425000.0,40.0,Diesel
16,Audi A8,Audi,2017,1000000.0,4000.0,Petrol
17,Audi Q7,Audi,2014,500000.0,16934.0,Diesel
18,Mahindra Scorpio,Mahindra,2016,350000.0,43000.0,Diesel
19,Maruti Suzuki,Maruti,2014,160000.0,35550.0,Petrol
20,Mahindra Scorpio,Mahindra,2016,350000.0,43000.0,Diesel
21,Mahindra Scorpio,Mahindra,2016,310000.0,39522.0,Diesel
22,Maruti Suzuki,Maruti,2015,75000.0,39000.0,Petrol
23,Hyundai i20,Hyundai,2012,100000.0,55000.0,Petrol
24,Hyundai i20,Hyundai,2012,100000.0,55000.0,Petrol
25,Hyundai i20,Hyundai,2012,100000.0,55000.0,Petrol
26,Maruti Suzuki,Maruti,2017,190000.0,72000.0,Petrol
27,Maruti Suzuki,Maruti,2016,290000.0,15975.0,Diesel
28,Maruti Suzuki,Maruti,2008,95000.0,70000.0,Petrol
29,Mahindra Bolero,Mahindra,2017,180000.0,23452.0,Diesel
30,Maruti Suzuki,Maruti,2014,385000.0,35522.0,Diesel
31,Mahindra Scorpio,Mahindra,2015,250000.0,48508.0,Diesel
32,Maruti Suzuki,Maruti,2017,180000.0,15487.0,Petrol
33,Maruti Suzuki,Maruti,2013,105000.0,39000.0,Petrol
34,Maruti Suzuki,Maruti,2013,105000.0,39000.0,Petrol
35,Toyota Innova,Toyota,2012,650000.0,82000.0,Diesel
36,Renault Lodgy,Renault,2018,689999.0,20000.0,Diesel
37,Skoda Yeti,Skoda,2012,448000.0,68000.0,Diesel
38,Maruti Suzuki,Maruti,2017,549000.0,32000.0,Diesel
39,Renault Duster,Renault,2012,501000.0,38000.0,Diesel
40,Renault Duster,Renault,2013,489999.0,27000.0,Diesel
41,Honda City,Honda,2011,280000.0,33000.0,Petrol
42,Maruti Suzuki,Maruti,2015,250000.0,60000.0,Petrol
43,Maruti Suzuki,Maruti,2013,349999.0,46000.0,Diesel
44,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
45,Honda Amaze,Honda,2015,345000.0,36000.0,Diesel
46,Honda City,Honda,2015,499999.0,55000.0,Petrol
47,Datsun Redi,Datsun,2017,235000.0,16000.0,Petrol
48,Maruti Suzuki,Maruti,2010,249999.0,36000.0,Petrol
49,Mitsubishi Pajero,Mitsubishi,2015,1475000.0,47000.0,Diesel
50,Mahindra Bolero,Mahindra,2017,180000.0,23452.0,Diesel
51,Maruti Suzuki,Maruti,2014,385000.0,35522.0,Diesel
52,Mahindra Scorpio,Mahindra,2015,250000.0,48508.0,Diesel
53,Maruti Suzuki,Maruti,2017,180000.0,15487.0,Petrol
54,Maruti Suzuki,Maruti,2013,105000.0,39000.0,Petrol
55,Maruti Suzuki,Maruti,2013,105000.0,39000.0,Petrol
56,Mahindra Scorpio,Mahindra,2015,395000.0,35000.0,Diesel
57,Maruti Suzuki,Maruti,2017,220000.0,30874.0,Petrol
58,Honda City,Honda,2017,170000.0,15000.0,Diesel
59,Maruti Suzuki,Maruti,2013,85000.0,29685.0,Petrol
60,Ford Figo,Ford,2012,175000.0,41000.0,Diesel
61,Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol
62,Tata Indigo,Tata,2017,200000.0,130000.0,Diesel
63,Ford EcoSport,Ford,2016,830000.0,24530.0,Diesel
64,Tata Indigo,Tata,2017,200000.0,130000.0,Diesel
65,Mahindra Scorpio,Mahindra,2012,570000.0,19000.0,Diesel
66,Volkswagen Polo,Volkswagen,2014,315000.0,60000.0,Petrol
67,Skoda Fabia,Skoda,2010,182000.0,60000.0,Petrol
68,Maruti Suzuki,Maruti,2015,315000.0,30000.0,Petrol
70,Chevrolet Spark,Chevrolet,2010,110000.0,41000.0,Petrol
71,Renault Duster,Renault,2012,501000.0,35000.0,Diesel
72,Honda City,Honda,2015,448999.0,54000.0,Petrol
73,Mini Cooper,Mini,2013,1891111.0,13000.0,Petrol
74,Datsun Redi,Datsun,2017,235000.0,16000.0,Petrol
75,Skoda Fabia,Skoda,2011,159500.0,38200.0,Diesel
76,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
77,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
78,Renault Duster,Renault,2014,449999.0,50000.0,Diesel
79,Mini Cooper,Mini,2013,1891111.0,13500.0,Petrol
80,Mahindra Scorpio,Mahindra,2015,865000.0,30000.0,Diesel
81,Mahindra Scorpio,Mahindra,2014,699000.0,50000.0,Diesel
82,Mahindra Quanto,Mahindra,2013,375000.0,20000.0,Diesel
83,Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol
84,Honda Brio,Honda,2012,224999.0,30000.0,Petrol
86,Volkswagen Vento,Volkswagen,2019,1200000.0,3600.0,Diesel
87,Hyundai i20,Hyundai,2009,195000.0,32000.0,Petrol
88,Toyota Corolla,Toyota,2010,351000.0,38000.0,Diesel
89,Hyundai Verna,Hyundai,2008,160000.0,45000.0,Petrol
90,Toyota Corolla,Toyota,2009,240000.0,35000.0,Petrol
91,Honda City,Honda,2005,90000.0,50000.0,Petrol
92,Hyundai Elite,Hyundai,2014,415000.0,32000.0,Petrol
93,Skoda Fabia,Skoda,2011,155000.0,45863.0,Diesel
94,BMW 3,BMW,2011,600000.0,60500.0,Petrol
95,Maruti Suzuki,Maruti,2011,189500.0,12500.0,Petrol
96,Toyota Etios,Toyota,2013,350000.0,60000.0,Diesel
97,Ford Figo,Ford,2012,210000.0,35000.0,Diesel
98,Maruti Suzuki,Maruti,2014,390000.0,35000.0,Petrol
99,Chevrolet Beat,Chevrolet,2012,135000.0,45000.0,Diesel
100,BMW 7,BMW,2009,1600000.0,35000.0,Petrol
101,Mahindra XUV500,Mahindra,2013,701000.0,38000.0,Diesel
102,Hyundai i10,Hyundai,2014,265000.0,18000.0,Petrol
103,Hyundai Verna,Hyundai,2015,525000.0,35000.0,Diesel
104,Maruti Suzuki,Maruti,2013,372000.0,13349.0,Petrol
105,Maruti Suzuki,Maruti,2016,635000.0,29000.0,Petrol
106,Ford EcoSport,Ford,2014,550000.0,44000.0,Diesel
107,Maruti Suzuki,Maruti,2016,575000.0,29000.0,Petrol
108,Maruti Suzuki,Maruti,2013,485000.0,42000.0,Diesel
109,Maruti Suzuki,Maruti,2012,155000.0,14000.0,Petrol
110,Hyundai Grand,Hyundai,2014,345000.0,49000.0,Diesel
111,Honda Amaze,Honda,2014,325000.0,42000.0,Petrol
112,Hyundai i20,Hyundai,2012,329500.0,36200.0,Diesel
113,Ford Figo,Ford,2014,195000.0,50000.0,Diesel
114,Maruti Suzuki,Maruti,2015,251111.0,55000.0,Petrol
115,Maruti Suzuki,Maruti,2014,569999.0,45000.0,Petrol
116,Maruti Suzuki,Maruti,2007,69999.0,51000.0,Petrol
117,Maruti Suzuki,Maruti,2014,299999.0,19000.0,Petrol
118,Maruti Suzuki,Maruti,2009,220000.0,46000.0,Petrol
119,Maruti Suzuki,Maruti,2013,399999.0,33000.0,Diesel
120,Maruti Suzuki,Maruti,2013,372000.0,13349.0,Petrol
121,Maruti Suzuki,Maruti,2015,450000.0,104000.0,Diesel
122,Toyota Etios,Toyota,2014,270000.0,55000.0,Petrol
123,Hyundai i20,Hyundai,2011,350000.0,33333.0,Diesel
124,Chevrolet Spark,Chevrolet,2012,158400.0,33600.0,Petrol
125,Maruti Suzuki,Maruti,2017,350000.0,5600.0,Petrol
126,Nissan Micra,Nissan,2011,179000.0,41000.0,Petrol
127,Maruti Suzuki,Maruti,2007,125000.0,70000.0,Petrol
128,Maruti Suzuki,Maruti,2018,200000.0,7500.0,Petrol
129,Honda Amaze,Honda,2013,299000.0,45000.0,Diesel
130,Maruti Suzuki,Maruti,2015,220000.0,38000.0,Petrol
131,Chevrolet Beat,Chevrolet,2015,150000.0,30000.0,Petrol
132,Toyota Corolla,Toyota,2009,275000.0,26000.0,Petrol
133,Honda City,Honda,2010,285000.0,35000.0,Petrol
134,Ford EcoSport,Ford,2016,830000.0,24330.0,Diesel
135,Hyundai i20,Hyundai,2009,210000.0,65480.0,Petrol
136,Maruti Suzuki,Maruti,2013,340000.0,41000.0,Petrol
137,Tata Indica,Tata,2006,90000.0,20000.0,Petrol
140,Toyota Corolla,Toyota,2010,289999.0,70000.0,Petrol
141,Toyota Corolla,Toyota,2012,349999.0,59000.0,Petrol
142,Toyota Innova,Toyota,2012,849999.0,99000.0,Diesel
143,Volkswagen Jetta,Volkswagen,2014,749999.0,46000.0,Diesel
144,Volkswagen Polo,Volkswagen,2015,399999.0,2800.0,Petrol
145,Volkswagen Polo,Volkswagen,2014,274999.0,32000.0,Petrol
146,Mahindra Scorpio,Mahindra,2015,984999.0,22000.0,Diesel
147,Renault Duster,Renault,2014,449999.0,50000.0,Diesel
148,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
149,Nissan Sunny,Nissan,2012,224999.0,45000.0,Petrol
150,Hyundai Elite,Hyundai,2018,599999.0,21000.0,Petrol
151,Renault Kwid,Renault,2016,244999.0,11000.0,Petrol
152,Renault Duster,Renault,2013,399999.0,41000.0,Diesel
153,Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol
154,Renault Duster,Renault,2014,474999.0,50000.0,Diesel
155,Mahindra Scorpio,Mahindra,2011,499999.0,66000.0,Diesel
156,Maruti Suzuki,Maruti,2018,310000.0,3000.0,Petrol
157,Chevrolet Spark,Chevrolet,2010,85000.0,45000.0,Petrol
158,Datsun Redi,Datsun,2016,245000.0,7000.0,Petrol
159,Maruti Suzuki,Maruti,2010,189500.0,38500.0,Diesel
160,Fiat Punto,Fiat,2012,169500.0,37200.0,Diesel
161,Maruti Suzuki,Maruti,2010,159500.0,43200.0,Diesel
162,Toyota Etios,Toyota,2013,275000.0,24800.0,Petrol
163,Hyundai i20,Hyundai,2014,370000.0,60000.0,Diesel
164,Hyundai i10,Hyundai,2010,168000.0,45872.0,Petrol
165,Chevrolet Beat,Chevrolet,2011,150000.0,40000.0,Diesel
166,Chevrolet Beat,Chevrolet,2011,145000.0,45000.0,Diesel
167,Chevrolet Beat,Chevrolet,2012,98500.0,38000.0,Diesel
168,Mahindra Scorpio,Mahindra,2014,699000.0,50000.0,Diesel
169,Tata Indigo,Tata,2011,85000.0,11400.0,Diesel
170,Toyota Corolla,Toyota,2015,575000.0,42000.0,Petrol
171,Honda City,Honda,2014,549000.0,39000.0,Petrol
172,Maruti Suzuki,Maruti,2011,209000.0,47000.0,Diesel
173,Hyundai Eon,Hyundai,2013,185000.0,27000.0,Petrol
174,Mahindra Scorpio,Mahindra,2015,900000.0,97200.0,Diesel
175,Mahindra XUV500,Mahindra,2014,699999.0,52000.0,Diesel
176,Honda Brio,Honda,2012,224999.0,30000.0,Petrol
177,Ford Fiesta,Ford,2011,274999.0,55000.0,Diesel
178,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
179,Honda City,Honda,2015,599999.0,30000.0,Diesel
180,Maruti Suzuki,Maruti,2012,199999.0,44000.0,Petrol
181,Honda City,Honda,2014,544999.0,45000.0,Diesel
182,Hyundai i20,Hyundai,2009,199000.0,31000.0,Petrol
183,Tata Indigo,Tata,2016,320000.0,175430.0,Diesel
184,Hyundai Fluidic,Hyundai,2015,540000.0,38000.0,Diesel
186,Mahindra Quanto,Mahindra,2013,340000.0,37000.0,Diesel
187,Fiat Petra,Fiat,2008,75000.0,65000.0,Petrol
188,Skoda Fabia,Skoda,2011,159500.0,38200.0,Diesel
189,Mini Cooper,Mini,2013,1891111.0,13000.0,Petrol
190,Hyundai Santro,Hyundai,2005,49000.0,7500.0,Petrol
191,Maruti Suzuki,Maruti,2016,700000.0,3350.0,Petrol
192,Maruti Suzuki,Maruti,2000,55000.0,60000.0,Petrol
193,Honda City,Honda,2015,448999.0,54000.0,Petrol
194,Hyundai Creta,Hyundai,2017,895000.0,32000.0,Petrol
196,Mahindra Scorpio,Mahindra,2007,355000.0,75000.0,Diesel
197,Mahindra Scorpio,Mahindra,2012,565000.0,62000.0,Diesel
198,Toyota Innova,Toyota,2006,365000.0,73000.0,Diesel
199,Maruti Suzuki,Maruti,2011,145000.0,41000.0,Petrol
200,Maruti Suzuki,Maruti,2011,210000.0,35000.0,Petrol
201,Tata Nano,Tata,2013,40000.0,2200.0,Petrol
202,Maruti Suzuki,Maruti,2013,125000.0,39000.0,Petrol
203,Maruti Suzuki,Maruti,2009,135000.0,45000.0,Petrol
204,Maruti Suzuki,Maruti,2006,135000.0,45000.0,Petrol
205,Tata Sumo,Tata,2012,285000.0,65000.0,Diesel
207,Maruti Suzuki,Maruti,2010,145000.0,54870.0,Petrol
208,Maruti Suzuki,Maruti,2010,135000.0,34580.0,Petrol
209,Volkswagen Passat,Volkswagen,2009,450000.0,97000.0,Diesel
210,Renault Scala,Renault,2015,375000.0,25000.0,Diesel
211,Mahindra Quanto,Mahindra,2013,375000.0,20000.0,Diesel
212,Hyundai Grand,Hyundai,2014,365000.0,20000.0,Petrol
213,Hyundai i20,Hyundai,2015,500000.0,18000.0,Petrol
214,Mahindra Xylo,Mahindra,2012,400000.0,35000.0,Diesel
215,Mahindra Jeep,Mahindra,2019,390000.0,60.0,Diesel
216,Renault Duster,Renault,2012,501000.0,35000.0,Diesel
217,Mahindra Bolero,Mahindra,2013,330000.0,80200.0,Diesel
218,Force Motors,Force,2015,580000.0,3200.0,Diesel
219,Maruti Suzuki,Maruti,2012,265000.0,46000.0,Diesel
221,Maruti Suzuki,Maruti,2015,219000.0,5000.0,Petrol
222,Mahindra Jeep,Mahindra,2018,385000.0,588.0,Diesel
223,Toyota Etios,Toyota,2011,275000.0,36000.0,Diesel
224,Volkswagen Polo,Volkswagen,2015,330000.0,38000.0,Diesel
225,Honda City,Honda,2008,110000.0,45000.0,Petrol
226,Maruti Suzuki,Maruti,2006,80000.0,71200.0,Petrol
227,Honda City,Honda,2016,519000.0,52000.0,Diesel
228,Mahindra Thar,Mahindra,2016,730000.0,29000.0,Diesel
229,Mitsubishi Pajero,Mitsubishi,2015,1475000.0,47000.0,Diesel
230,Audi A4,Audi,2009,699000.0,47000.0,Petrol
231,Mercedes Benz,Mercedes,2015,2000000.0,20000.0,Diesel
232,Land Rover,Land,2015,2100000.0,30000.0,Diesel
233,Renault Kwid,Renault,2017,340000.0,5000.0,Petrol
234,Tata Aria,Tata,2014,390000.0,35000.0,Diesel
235,Mercedes Benz,Mercedes,2014,1400000.0,31000.0,Petrol
236,Datsun GO,Datsun,2016,245000.0,7000.0,Petrol
237,Tata Indigo,Tata,2016,320000.0,175430.0,Diesel
238,Tata Indigo,Tata,2016,320000.0,175400.0,Diesel
239,Honda Jazz,Honda,2016,450000.0,41000.0,Petrol
240,Honda Amaze,Honda,2014,311000.0,33000.0,Petrol
241,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
242,Honda City,Honda,2012,399999.0,45000.0,Petrol
243,Honda City,Honda,2015,599999.0,39000.0,Diesel
244,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
245,Audi A4,Audi,2009,699000.0,47000.0,Petrol
246,Force Motors,Force,2015,580000.0,3200.0,Diesel
247,Mahindra Scorpio,Mahindra,2015,855000.0,30000.0,Diesel
248,Hyundai i20,Hyundai,2015,535000.0,37000.0,Diesel
249,Mini Cooper,Mini,2013,1891111.0,13000.0,Petrol
250,Maruti Suzuki,Maruti,2017,699000.0,14000.0,Petrol
251,Chevrolet Tavera,Chevrolet,2013,375000.0,55000.0,Diesel
252,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
253,Hyundai Eon,Hyundai,2012,178000.0,30000.0,Petrol
254,Tata Sumo,Tata,2013,300000.0,50000.0,Diesel
255,Maruti Suzuki,Maruti,2003,90000.0,45000.0,Petrol
256,Maruti Suzuki,Maruti,2006,95000.0,45000.0,Petrol
257,Maruti Suzuki,Maruti,2015,255000.0,9300.0,Petrol
258,Chevrolet Enjoy,Chevrolet,2013,245000.0,55000.0,Diesel
259,Hyundai i20,Hyundai,2012,329500.0,36200.0,Diesel
260,Ford Figo,Ford,2014,195000.0,50000.0,Diesel
261,Maruti Suzuki,Maruti,2015,251111.0,55000.0,Petrol
262,Maruti Suzuki,Maruti,2014,569999.0,45000.0,Petrol
263,Maruti Suzuki,Maruti,2007,69999.0,51000.0,Petrol
264,Maruti Suzuki,Maruti,2014,299999.0,19000.0,Petrol
265,Maruti Suzuki,Maruti,2009,220000.0,46000.0,Petrol
266,Maruti Suzuki,Maruti,2013,399999.0,33000.0,Diesel
267,Maruti Suzuki,Maruti,2010,249999.0,36000.0,Petrol
268,Maruti Suzuki,Maruti,2015,289999.0,22000.0,Petrol
269,Mini Cooper,Mini,2013,1891111.0,13500.0,Petrol
270,Nissan Terrano,Nissan,2015,499999.0,60000.0,Diesel
271,Renault Duster,Renault,2013,489999.0,27000.0,Diesel
272,Renault Duster,Renault,2014,489999.0,59000.0,Diesel
273,Renault Duster,Renault,2015,549999.0,19000.0,Diesel
274,Maruti Suzuki,Maruti,2013,380000.0,30000.0,Petrol
275,Renault Kwid,Renault,2018,325000.0,15000.0,Petrol
276,Maruti Suzuki,Maruti,2003,57000.0,56758.0,Petrol
277,Renault Kwid,Renault,2018,349999.0,10000.0,Petrol
278,Renault Lodgy,Renault,2018,689999.0,20000.0,Diesel
